Organization_Name,Organization_Name_URL,Founded_Date,Founders,Number_of_Employees,Description,Industries,Industry_Groups,Headquarters_Location,Headquarters_Regions,Postal_Code,Diversity_Spotlight,Estimated_Revenue_Range,Operating_Status,Funding_Status,Number_of_Funding_Rounds,Last_Funding_Amount,Last_Funding_Amount_Currency,Last_Funding_Date,Last_Funding_Type,Total_Funding_Amount,Total_Funding_Amount_Currency,Number_of_Lead_Investors,Top_5_Investors,Last_Leadership_Hiring_Date,Last_Layoff_Mention_Date,Trend_Score_7_Days,Trend_Score_30_Days,Trend_Score_90_Days,Growth_Trend,Active_Hiring,Job_Postings_on_Linkedin,Job_postings_on_official_website,Additional_Comment
UniSense,https://www.crunchbase.com/organization/unisense-688a,1/1/2023,,51-100,UniSense is an AI-based platform for producing sensing and lead sensing solutions to provide insights related to consumer behavior.,"Artificial Intelligence (AI), CRM, Generative AI, Lead Management","Artificial Intelligence (AI), Data and Analytics, Information Technology, Sales and Marketing, Science and Engineering, Software","Milpitas, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",95035,,,Active,Seed,1,,,1/1/2024,Pre-Seed,,,,Speciale Invest,,,-0.1,2.7,-0.1,50.00%,N,0,,
Free Rein,https://www.crunchbase.com/organization/free-rein,1/1/2023,,11-50,Free Rein is an american owned & made coffee company.,"Brewing, Coffee, Retail","Commerce and Shopping, Food and Beverage","San Angelo, Texas, United States",Southern US,,,,Active,Seed,2,,,6/27/2024,Pre-Seed,,,1,"Morrison Seger Venture Capital Partners, Rogers Healy, Mark Wahlberg",,,0.0,0.4,-0.1,21.00%,N,0,,
WYN BEAUTY,https://www.crunchbase.com/organization/wyn-beauty,1/1/2024,,11-50,"WYN BEAUTY is a company that provides cosmetics, beauty and makeup products, and skin care products.","Beauty, Commercial, Cosmetics, Online Portals","Consumer Goods, Internet Services, Other","Wilmington, Delaware, United States","Greater Philadelphia Area, East Coast, Southern US",19801,,,Active,Seed,1,,,1/1/2024,Pre-Seed,,,,The Good Glamm Group,,,0.0,-0.6,-0.2,70.00%,N,0,,
ImmunoFree,https://www.crunchbase.com/organization/immunofree,1/1/2023,,11-50,ImmunoFree is a healthcare center that focuses on eliminating the need for immunosuppression medications in transplant recipients.,"Health Care, Medical, Service Industry","Health Care, Other","Greenwich, Connecticut, United States","East Coast, New England, Northeastern US",,,$1M to $10M,Active,,1,,,1/30/2024,Grant,,,1,National Kidney Foundation,,,0.5,3.4,1.8,100.00%,N,0,,
fAIshion.AI,https://www.crunchbase.com/organization/faishion-ai,8/1/2024,Christina Pan,11-50,Chrome Extension and APP,,,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,,,Active,Seed,1,,,11/1/2024,Pre-Seed,,,,,,,0.5,-0.1,3.4,1700.00%,N,0,,
Cadly,https://www.crunchbase.com/organization/cadly,1/1/2023,,11-50,"Cadly, a 3D printing company has looked for more effective ways to share inventions with the public.","3D Printing, 3D Technology, E-Commerce Platforms, Fast-Moving Consumer Goods, Manufacturing","Commerce and Shopping, Consumer Goods, Hardware, Internet Services, Manufacturing, Real Estate, Software","Atlanta, Georgia, United States","Greater Atlanta Area, East Coast, Southern US",32136,,,Active,,1,,,9/10/2024,Non-equity Assistance,,,1,Techstars Atlanta,,,0.6,0.0,1.5,22.00%,N,0,,
BCD iLabs,https://www.crunchbase.com/organization/bcd-ilabs,1/1/2023,,11-50,BCD iLabs offers AI tools that helps reduce time and cost in food development through smart optimization.,"Artificial Intelligence (AI), Food and Beverage, Food Processing","Artificial Intelligence (AI), Data and Analytics, Food and Beverage, Science and Engineering, Software","Hoffman Estates, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",60192,,,Active,Seed,1,,,11/18/2024,Seed,,,,Plug and Play,,,0.0,-0.5,4.5,9.00%,N,0,,
ClearWay Software,https://www.crunchbase.com/organization/clearway-software,1/1/2023,,11-50,"ClearWay Software makes EV charger deployment fast and easy with AI tools for site planning, docs, and permits.","Electric Vehicle, Energy Efficiency, Software","Energy, Software, Sustainability, Transportation","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",94107,,,Active,Seed,1,,,9/12/2024,Seed,,,,Plug and Play,,,0.0,-0.1,3.4,0.00%,N,0,,
Cyndelos,https://www.crunchbase.com/organization/cyndelos,1/17/2024,"Richard Chapman, Stacey Egerton",11-50,SaaS growth empowerment leveraging AI to automate consumer data privacy compliance with pixels & other website tracking technologies.,"Cyber Security, Financial Services, Health Care, Information Technology, Software","Financial Services, Health Care, Information Technology, Privacy and Security, Software","Lexington, Kentucky, United States",Southern US,40508,,$1M to $10M,Active,Seed,1,,,1/17/2024,Seed,,,,,,,0.6,-0.3,1.0,0.00%,N,0,,
CerboAI,https://www.crunchbase.com/organization/cerboai,1/1/2024,,11-50,CerboAI is a decentralized AGI network that empowers users through personalized AI Edge Models deployed locally on devices.,"Artificial Intelligence (AI), Blockchain, Cryptocurrency","Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Financial Services, Other, Payments, Science and Engineering, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",10007,,,Active,Early Stage Venture,1,,,3/16/2024,Series A,,,1,"Foresight Ventures, CS Family Office, Gavin Gao",,,0.6,-0.5,3.5,0.00%,N,0,,
TRAILS,https://www.crunchbase.com/organization/trails-96d9,1/1/2023,,101-250,TRAILS is a nonprofit organization that offers mental health care and counseling services to needy students.,"Health Care, Mental Health, Non Profit","Health Care, Other, Social Impact","Ann Arbor, Michigan, United States","Great Lakes, Midwestern US",,,,Active,,1,,,2/15/2024,Grant,,,1,ICONIQ Capital,,,-0.2,1.1,0.0,8.00%,N,0,,
BLKBRN Dispensary,https://www.crunchbase.com/organization/blkbrn-dispensary,1/1/2024,Catherine Peoples,11-50,BLKBRN Dispensary is a retail dispensary that offers cannabis products and wellness education.,"Alternative Medicine, Cannabis","Community and Lifestyle, Food and Beverage, Health Care","Highland Park, New Jersey, United States","Greater New York Area, East Coast, Northeastern US",8904,,,Active,Seed,1,,,12/4/2024,Seed,,,1,Poseidon Asset Management,,,0.4,1.4,4.5,200.00%,N,0,,
RouteReady CDL Academy,https://www.crunchbase.com/organization/routeready-cdl-academy,1/4/2024,"Bryan Anderson, Stephan Rosen",11-50,Commercial Driver Training,"Education, Vocational Education",Education,"Hudson, Colorado, United States","Greater Denver Area, Western US",80642,,,Active,Seed,1,,,2/29/2024,Pre-Seed,,,,"Justin Cutler, David Rosen, Bryan Carley, Kevin Tarashuk, Thomas Loeffler",,,-0.1,-0.2,-0.1,33.00%,N,0,,
Sapplica,https://www.crunchbase.com/organization/sapplica,1/10/2024,Paul Paturi,11-50,Sapplica is a SaaS company bringing accessible operational intelligence solutions to the small business community.,"Artificial Intelligence (AI), Information Technology, Machine Learning, Software","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Atlanta, Georgia, United States","Greater Atlanta Area, East Coast, Southern US",,,$1M to $10M,Active,Seed,1,,,1/14/2024,Seed,,,,,,,0.3,0.2,-0.2,11.00%,N,0,,
Byte Advisory,https://www.crunchbase.com/organization/byte-advisory,1/1/2024,Ali Kumael Rizvi,11-50,"Byte Advisory is a solutions provider offering tailored services in Business Consulting, Technology Solutions, and Digital Marketing.","Consulting, Digital Marketing, Mobile Apps, Software Engineering, Web Development","Apps, Mobile, Professional Services, Sales and Marketing, Science and Engineering, Software","Chicago, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",,,,Active,Seed,1,,,1/1/2024,Pre-Seed,,,,Ali Kumael Rizvi,,,2.1,0.0,3.1,40.00%,N,0,,
Burbuxa,https://www.crunchbase.com/organization/burbuxa,1/1/2023,,11-50,"Burbuxa is an online platform that specializes in AI agents, automations, technical support and segmented campaigns for e-commerce.","Artificial Intelligence (AI), E-Commerce, Sales Automation, Software","Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Information Technology, Sales and Marketing, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,,,Active,Seed,1,,,1/1/2024,Seed,,,,Newtopia VC,,,1.2,0.0,1.5,33.00%,N,0,,
Kubezy,https://www.crunchbase.com/organization/kubezy,5/1/2023,Halil BUGÖL,11-50,Kubezy is a next generation cloud operator that creates technologies.,"Cloud Infrastructure, Cloud Management, Service Industry","Hardware, Information Technology, Internet Services, Other, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,,,Active,,1,,,2/1/2024,Non-equity Assistance,,,1,"İşbank, Workup, Hackquarters",,,-0.1,-0.3,-0.3,50.00%,N,0,,
Cold Email Secrets,https://www.crunchbase.com/organization/cold-email-secrets,1/1/2023,"Daniel Forgo, Indrayudh Sen, Vincent Kwon",11-50,"B2B lead gen experts driving revenue through targeted cold email campaigns for SaaS, agencies, coaches, and consultants.","B2B, Digital Marketing, Email Marketing, SaaS, Sales","Other, Sales and Marketing, Software","Sheridan, Wyoming, United States",Western US,82801,,,Active,Seed,2,,,4/3/2024,Pre-Seed,,,,AuroraAxis Capital,,,-0.2,-0.6,0.0,33.00%,N,0,,
Respired.io,https://www.crunchbase.com/organization/respired-io,1/1/2023,,11-50,"Respired.io: AI-powered social media strategy tool, making digital outreach simple and effective for all businesses.","Artificial Intelligence (AI), Marketing, Software","Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Science and Engineering, Software","Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",,,,Active,Seed,2,,,4/1/2024,Seed,,,,,,,-0.1,-0.7,-0.6,0.00%,N,0,,
Doheny Road Spirits,https://www.crunchbase.com/organization/doheny-road-spirits,1/1/2023,Tony Garcia,11-50,"Doheny Road Spirits is well-known in the tequila business for its commitment to quality, craftsmanship, and innovation.","Food and Beverage, Manufacturing","Food and Beverage, Manufacturing","Beverly Hills, California, United States","Greater Los Angeles Area, West Coast, Western US",,,,Active,Private Equity,1,,,8/22/2024,Private Equity,,,1,Royal Eagle Fund,,,-0.2,0.2,-0.4,25.00%,N,0,,
ORME,https://www.crunchbase.com/organization/orme-dc3d,1/6/2023,"Faisal Ahmed, Robert D'Loren",11-50,"ORME presents a whole new experience for shoppers, influencers, brands, and retailers.","E-Commerce, Shopping, Social Media, Social Network, Social Shopping","Commerce and Shopping, Internet Services, Media and Entertainment","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",10013,,,Active,,1,,,1/24/2024,Corporate Round,,,1,Xcel Brands,,,-0.2,-1.1,-0.5,12.00%,N,0,,
EV Safety,https://www.crunchbase.com/organization/ev-safety,1/1/2023,"Bruno Lucarelli, Rachelle Lucarelli",11-50,EV Safety is a one-stop shop for advanced electric vehicle fire safety equipment.,Electric Vehicle,Transportation,"Pompano Beach, Florida, United States","Greater Miami Area, East Coast, Southern US",,,,Active,Seed,1,,,3/6/2024,Pre-Seed,,,1,Leon Parkhouse,,,-0.4,-0.6,-0.1,0.00%,N,0,,
Blessed,https://www.crunchbase.com/organization/blessed,1/1/2023,,11-50,"Blessed is a tech company that offers an application for Bible reading, prayer, sharing, and exploring faith experiences.","Customer Service, Mobile Apps, Religion","Apps, Community and Lifestyle, Mobile, Other, Professional Services, Software","Sunnyvale, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",94085,,,Active,Seed,1,,,1/1/2025,Seed,,,,Cherubic Ventures,,,5.7,8.8,8.8,20.00%,N,0,,
Mashman Consulting Group,https://www.crunchbase.com/organization/mashman-consulting-group,7/18/2024,Isaac Mashman,11-50,Consulting firm specializing in personal branding and individual reputation management,"Consulting, Personal Branding, Public Relations, Reputation","Information Technology, Professional Services, Sales and Marketing","Little Rock, Arkansas, United States",Southern US,72201,,,Active,Seed,1,,,5/22/2024,Pre-Seed,,,1,Isaac Mashman,,,-0.4,-0.7,-0.2,0.00%,N,0,,
SlashPage,https://www.crunchbase.com/organization/slashpage,3/15/2023,,11-50,Website Builder (SaaS),"Blogging Platforms, Communities, SaaS, Web Development","Community and Lifestyle, Content and Publishing, Media and Entertainment, Software","Dover, Delaware, United States","East Coast, Southern US",19901,,,Active,Seed,1,,,10/17/2024,Seed,,,1,Y&Archer,,,-0.1,-1.2,-1.2,9.00%,N,0,,
WorkTok,https://www.crunchbase.com/organization/worktok,7/1/2023,,11-50,"WorkTok connects Iraqis with local experts in real time, simplifying everyday challenges with practical and on the spot assistance.","Apps, Marketplace","Apps, Commerce and Shopping, Software","Casper, Wyoming, United States",Western US,82609,,,Active,Seed,1,,,4/1/2024,Seed,,,,,,,-0.1,-1.1,-0.2,0.00%,N,0,,
NEST,https://www.crunchbase.com/organization/nest-74ad,1/1/2023,,11-50,NEST is a research lab for scientific discovery and development that offers artificial Intelligence and cosmeceutical Research.,"Health Care, Information Technology, Life Science","Biotechnology, Health Care, Information Technology, Science and Engineering","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",7033,,,Active,Seed,1,,,1/1/2025,Seed,,,,Access Industries,,,-0.6,-1.2,7.6,0.00%,N,0,,
Indiana Center for Emerging Technologies,https://www.crunchbase.com/organization/indiana-center-for-emerging-technologies,1/1/2023,,11-50,Indiana Center for Emerging Technologies champions high-growth tech startups and drive the creation of high-skill jobs.,"Information Technology, Internet","Information Technology, Internet Services","Evansville, Indiana, United States","Great Lakes, Midwestern US",47708,,,Active,,1,,,9/25/2024,Grant,,,1,U.S. Small Business Administration,,,-0.3,3.2,-0.7,0.00%,N,0,,
Youth Medical Mentorship,https://www.crunchbase.com/organization/youth-medical-mentorship,1/1/2023,,11-50,Youth Medical Mentorship mission is to increase and sustain the medical and allied health professional career pipeline.,,,"Tulsa, Oklahoma, United States",Southern US,,,,Active,,1,,,5/14/2024,Grant,,,1,The Commemoration Fund,,,1.6,3.4,5.8,33.00%,N,0,,
Tideway Logistics,https://www.crunchbase.com/organization/tideway-logistics,1/1/2024,,11-50,"Tideway Logistics is a next-generation, AI-powered 3PL that leverages advanced software and automation to streamline the supply chain.","E-Commerce, Logistics, Software","Commerce and Shopping, Software, Transportation","Detroit, Michigan, United States","Greater Detroit Area, Great Lakes, Midwestern US",,,,Active,Seed,1,,,1/1/2024,Seed,,,,Rolling Fun,,,0.6,-2.0,7.4,50.00%,N,0,,
World Liberty Financial,https://www.crunchbase.com/organization/world-liberty-financial,1/1/2024,Zak Folkman,11-50,World Liberty Financial is a decentralized finance protocol offering cryptocurrency solutions and services.,"Blockchain, Cryptocurrency, Web3","Blockchain and Cryptocurrency, Financial Services, Internet Services, Other, Payments, Software","Wilmington, Delaware, United States","Greater Philadelphia Area, East Coast, Southern US",19805,,$500M to $1B,Active,,3,"$100,000,000.00",USD,6/26/2025,Undisclosed,"$950,000,000.00",USD,2,"DWF Labs, Aqua1 Foundation, Syed Sameer, Tron Network (TRX) Coin",11/1/2024,,-1.1,-2.5,-1.0,160.00%,N,0,,
Factory,https://www.crunchbase.com/organization/factory-19d8,4/1/2023,"Eno Reyes, Matan Grinberg",11-50,Factory provides AI software agents automating complex development tasks and workflows.,"Artificial Intelligence (AI), Developer Tools, Software Engineering","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",94123,,,Active,Early Stage Venture,3,"$50,000,000.00",USD,9/25/2025,Series B,"$70,000,000.00",USD,3,"NVIDIA, Sequoia Capital, New Enterprise Associates, BoxGroup, Lux Capital",,,9.4,9.7,9.7,84.00%,Y,0,6,
Thinking Machines Lab,https://www.crunchbase.com/organization/thinking-machines-lab,2/1/2025,"Lilian Weng, Mira Murati",11-50,Thinking Machines Lab is an AI research and product company that aims to increase understanding and customization of AI systems.,"Artificial Intelligence (AI), Generative AI, Information Technology, Product Research, Software","Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,,,Active,Seed,2,"$2,000,000,000.00",USD,6/20/2025,Seed,"$2,009,975,164.00",USD,2,"Andreessen Horowitz, Accel, NVIDIA, Conviction, Cisco",8/6/2025,,-1.2,-4.6,-3.4,4600.00%,Y,0,3,
